handle,source,school,lang,name,followers,statuses,age_y,statuses_per_y,originals_per_y,asset_hit_rate,probe_n,last_tweet,bio_score,verified,bio
Trader_XO,seed,Technical,en,XO,549397,47629,13.4,3555,298,0.2,40,Tue Sep 15 15:00,0,True,
CryptoCapo_,seed,Technical,en,il Capo,987727,16443,8.4,1958,79,0.17,40,Sat Sep 12 10:24,5,True,"Independent market analyst, trader, and investor. Crypto since Feb 2017. Passionate about what I do.  Not financial advice.  ""Always seek truth"""
ZeroHedge_,following,,,Wick 🔥,0,0,,,1464,0.15,40,Tue Sep 15 01:58,2,,Full-time options trader • 20 yrs • Macro + indicators = edge • Become an Alpha Vault member @TradingAlpha_ • Discord Link - https://t.co/uaNafbeDDN
MichaelMOTTCM,seed,Quant,en,Michael J. Kramer,176942,34581,10.6,3270,8564,0.12,40,Tue Sep 15 16:04,3,True,"Independent Macro & Market Strategist | Founder, Mott Capital | https://t.co/aKPOeAdqyu"
KingKong9888,seed,Goldbug,en,Eric Yeung 👍🚀🌕,89576,143636,7.5,19169,5081,0.12,40,Tue Sep 15 15:15,0,True,Geopolitical and economic effects on Precious Metals and commodities. Not financial advice. Opinions are my own.
LukeGromen,seed+following,Macro,en,Luke Gromen,0,0,,,1336,0.12,40,Tue Sep 15 16:29,0,,"Founder & President, Forest for the Trees (FFTT).  Author of ""The Mr. X Interviews, Volumes I & II.”  I never solicit via DM's.  RT not endorsements."
Barchart,following,,,Barchart,0,0,,,8262,0.1,40,Tue Sep 15 08:30,4,,Financial Markets | Trading & Investing Tools | Charting | Stocks | Options | Futures | Commodities | Forex | News
RyanDetrick,seed,Quant,en,"Ryan Detrick, CMT",223261,73432,17.6,4177,5059,0.1,40,Tue Sep 15 12:38,2,True,Chief Market Strategist at @CarsonGroupLLC  🔎 for the perfect BBQ Host to the Facts vs Feelings podcast CNBC Contributor   Portfolio Manager to +$8B in AUM
tradingview,seed,Technical,en,TradingView,904180,153812,15.0,10245,16,0.1,40,Thu Jun 11 16:44,1,False,"Where the world charts, chats, and trades markets."
MacroAlf,seed,Macro,en,Alf,466638,12228,5.7,2143,50,0.1,40,Wed Jan 14 21:04,1,True,Founder of Palinuro Capital | Founder of The Macro Compass: Institutional Macro Research
davthewave,seed,Crypto,en,dave the wave🌊🌓,232833,51954,8.7,5988,2825,0.1,40,Tue Sep 15 05:51,1,True,Referral Link: https://t.co/U5g9ELvdRL  Altcoin Trading: https://t.co/hjVaoGbgCS Articles: https://t.co/Nj3rWvBzWh
GarethSoloway,seed,Technical,en,Gareth Soloway,245279,22540,15.6,1449,89,0.07,40,Sun Sep 13 22:48,3,True,"27 yr Pro Trader | Technical Analysis, Logic, Probability, Psychology, Institutional Analysis | Stock/ETF Alerts, Crypto Alerts, Commodity Alerts"
PeterLBrandt,seed+following,Technical,en,The Factor Report,0,0,,,1060,0.07,40,Tue Sep 15 15:59,3,,Premier site for classical chart analysis of futures markets. Trader for five decades. Market Wizard. Author. Membership Factor Report https://t.co/83DcDyF2SE
RaoulGMI,seed,Macro,en,Raoul Pal,1497009,60896,12.4,4904,896,0.07,40,Mon Sep 14 23:03,2,True,"Founder/CEO Global Macro Investor, @RealVision. Figuring things out at the nexus of Macro, Web3 & the Exponential Age. Not a guru."
PeterSchiff,seed+following,Goldbug,en,Peter Schiff,0,0,,,2543,0.07,40,Tue Sep 15 16:18,2,,"Chief Economist & Global Strategist https://t.co/X35usGhhgW, Chairman https://t.co/ulhU3vptUb, Founder https://t.co/zB1vZlRBGh, Host https://t.co/XazFnrIREg, Best-selling Author"
KobeissiLetter,seed,Quant,en,The Kobeissi Letter,2627054,33240,11.3,2948,7071,0.07,40,Tue Sep 15 16:18,1,True,"Official X account for The Kobeissi Letter, an industry leading commentary on the global capital markets. Email us: support@thekobeissiletter.com"
ProfKayaFinance,following,,,Kaya Finance,0,0,,,2974,0.07,40,Tue Sep 15 14:11,1,,"✨️ Yapay Zeka,Bulut ve Siber Güvenlik (Okuduğum ve Kişisel Düşüncelerim) Nasdaq S&P 500  profkayafinance@gmail.com"
burrytracker,following,,,Michael Burry Stock Tracker ♟,0,0,,,1042,0.07,40,Tue Sep 15 16:35,1,,Tracking hedge funds and Burry’s stocks.   Powered by @joinautopilot
forinvestapp,following,,,ForInvest,0,0,,,431,0.07,40,Tue Sep 15 07:47,1,,Takip. Analiz. Yatırım. Hepsi tek uygulamada! Hemen indir. 📲 👇🏻 https://t.co/282r7zAMaa
ergun_unutmaz,following,,,Ergun Unutmaz,0,0,,,99,0.07,40,Sat Jul 25 11:18,1,,Economist |   📚 BA in Economics  ⚙️ MSc in Econometrics 🇪🇺 MA in European Economic Studies  https://t.co/JdS0V7kQ5a
LawrenceLepard,seed,Goldbug,en,"Lawrence Lepard, ""fix the money, fix the world""",257614,93500,9.0,10373,1857,0.05,40,Tue Sep 15 15:34,5,True,"Investment Manager, Equity Management Associates,LLC. Sound money advocate. Gold stock fund manager. Austrian economist. Anti-Federalist. CrossFit Athlete. #BTC"
markminervini,seed,Technical,en,Mark Minervini,764755,38437,16.7,2305,814,0.05,40,Tue Sep 15 16:32,2,True,Author Trade Like A Stock Market Wizard and Think & Trade Like a Champion. Featured in Stock Market Wizard by Jack Schwager. Before following read disclosure.
CryptoHayes,seed,Crypto,en,Arthur Hayes,813033,2832,8.4,336,1113,0.05,40,Tue Sep 15 09:28,1,True,"Arthur Hayes, CEO of @Flop_Labs & CIO @Maelstromfund"
iriscibre,seed,Macro,tr,İris Cibre Lostar 🐦,310927,88303,16.1,5501,2751,0.05,40,Tue Sep 15 16:22,1,True,Phoenix Consultancy  CMBT Licensed Financial Markets Exec. https://t.co/kHjP5pfG1I https://t.co/nRsuvSD7M2 iriscibre@consultphoenix.net
fundstrat,following,,,Thomas (Tom) Lee (not drummer) FundstratDirect.com,0,0,,,2958,0.05,40,Tue Sep 15 16:19,1,,CIO Fundstrat Capital @FundstratCap $GRNY $GRNJ| Research @fundstratdirect | @CNBC FT contr. | Chairman Bitmine @BitMNR $BMNR $BMNP | Wikipedia: https://t.co/8QsXKpzGT7
MarioNawfal,following,,,Mario Nawfal,0,0,,,14600,0.05,40,Tue Sep 15 16:40,1,,"Largest Show on X (Live Daily 10am-8pm ET) | 24x7 Writers Covering News | Investor 700+ Startups | Founder @ibcgroupio , https://t.co/sw7OQ5KOqu"
charliebilello,seed,Quant,en,Charlie Bilello,866238,39288,13.4,2940,4354,0.03,40,Tue Sep 15 02:10,3,True,Chief Market Strategist @ Creative Planning   Investor | Writer | Reader | Thinker  Trying to become a little wiser every day.
TechCharts,following,,,"Aksel Kibar, CMT",0,0,,,5711,0.03,40,Tue Sep 15 07:29,3,,Chartered Market Technician (CMT) and Classical chart trader. Ex-Fund manager.  📈 ➡️  https://t.co/VSwr0eryIS    📺 ➡️ https://t.co/XFZI3RE8aj
DiMartinoBooth,seed,Macro,en,Danielle DiMartino Booth,338141,154245,11.2,13799,2939,0.03,40,Tue Sep 15 15:31,2,True,"CEO & Chief Strategist, QI Research LLC,  Fmr Federal Reserve insider, Economist #FedUp https://t.co/HD8LtvuXJ8, https://t.co/QpwfxheMSJ"
MacroCharts,seed,Quant,en,Macro Charts,197430,1324,7.4,179,126,0.03,40,Sat Sep 12 11:24,2,True,"30 years in markets. ex-Fund Manager, now independent. Focus on BIG trends, actionable ideas, and execution."
LynAldenContact,seed,Macro,en,Lyn Alden,1136126,34837,9.6,3611,522,0.03,40,Tue Sep 15 16:20,1,True,Author of Broken Money & The Stolguard Incident. Investor with a blended engineering/finance background. GP @egodeathcapital. Director at Bakkt & @Swan.
biancoresearch,seed,Macro,en,Jim Bianco,776662,45312,16.0,2827,639,0.03,40,Tue Sep 15 15:33,1,True,Macro investment research at https://t.co/hQqAza8GGP  Our total return index is at https://t.co/vta9eqevnU The ETF WTBN tracks our Index.  biancoresearch.eth
Schuldensuehner,seed,Goldbug,en,Holger Zschaepitz,386116,84686,17.3,4882,543,0.03,40,Tue Sep 15 10:09,1,True,Holger Zschäpitz is market maniac @Welt and Author of 'Schulden ohne Sühne?' a book on states' addiction to debt. Pics: https://t.co/0T7FGGZvLQ
Brad_Setser,following,,,Brad Setser,0,0,,,1324,0.03,40,Tue Sep 15 15:36,1,,"CFR senior fellow.  Views are my own. Writes on sovereign debt, trade, fx reserves and capital flows."
GavinSBaker,following,,,Gavin Baker,0,0,,,556,0.03,40,Mon Sep 14 18:20,1,,"Managing Partner & CIO, @atreidesmgmt. Husband, @l3eckyy. No investment advice, views my own. https://t.co/pFe9KmNu9U"
matt_levine,following,,,Matt Levine,0,0,,,190,0.03,40,Mon Sep 14 18:46,1,,lunch valuation analyst
SoberLook,seed,Quant,en,(((The Daily Shot))),170084,31825,14.8,2150,348,0.03,40,Tue Sep 15 13:43,0,True,"The Daily Shot is a graphical, no-hype global financial and economic newsletter (see sample: https://t.co/HjT4hq9I8N)."
zerohedge,seed+following,Quant,en,zerohedge,0,0,,,14600,0.03,40,Tue Sep 15 16:25,0,,
hendry_hugh,seed,Macro,en,Hugh Hendry Acid Capitalist TV,98031,15775,6.5,2442,6663,0.0,40,Tue Sep 15 01:18,3,True,"Global macro hedge fund guy distilling market insights via his alter-ego, the acid capitalist. ✉️ Summer Camp: https://t.co/HtFDwYPWmi"
jam_croissant,following,,,Cem Karsan 🥐,0,0,,,3581,0.0,40,Tue Sep 15 05:41,2,,"Founder, Kai Wealth. 27y Quant/Vol/Flow/Macro PM. Ex-MMaker,+10% of SPXOpt’s‘06-10 @phillipsacademy, @RiceAlumni,@KelloggAlumni, Vanna-Charmer🐍,🚫Invest Advice"
isyatirim,following,,,İş Yatırım,0,0,,,2101,0.0,40,Tue Sep 15 06:36,1,,Bir İş'iniz de Yatırım Olsun! Youtube Kanalımıza Abone Olun! https://t.co/EpNuNJsg1H… bilgi@isyatirim.com.tr  212 350 24 24
JosephEStiglitz,following,,,Joseph E. Stiglitz,0,0,,,41,0.0,40,Fri Oct 10 15:11,1,,"The official account of Joseph E. Stiglitz, Nobel laureate economist  @Columbia University. Co-president @policy_dialogue. Co-chair @icrict. Photo: @gaplump."
uttam_singhk,following,,,Uttam,0,0,,,1033,0.0,40,Tue Sep 15 14:30,1,,growth @alchemy | crypto x ai | helping builders → https://t.co/1oeeLtKvKi
standwithcrypto,following,,,Stand With Crypto🛡️,0,0,,,1226,0.0,40,Tue Sep 15 16:00,1,,"America's leading crypto advocacy organization. A grassroots hub empowering crypto users, builders, and supporters to make their voices heard.🛡️"
RefetGurkaynak,following,,,Refet Gürkaynak,0,0,,,36,0.0,40,Tue Sep 15 08:08,1,,İktisatçı/Economist--Kamuya acik sayfa--Public Twitter account
peterthiel,following,,,Peter Thiel,0,0,,,0,0.0,1,Mon Sep 08 21:15,1,,"Technology entrepreneur, investor, philanthropist."
yurtdisihisse,following,,,Yurtdışı Hisse,0,0,,,0,0,0,,1,,"""Wall Street, dünyanın en muhteşem gösterisidir."" Yurtdışı piyasalardan gelişmeleri aktarır. Yatırım tavsiyesi içermez."
thebc12,following,,,evan (thebc12.base.eth),0,0,,,241,0.0,40,Tue Sep 15 16:09,1,,"Talent @ @harmonic_ai  crypto, reality tv, snark. fmr: Twitter, Tumblr, Kickstarter, crypto startups"
durdn,following,,,Nicola Paolucci,0,0,,,7,0.0,40,Sun Jun 18 20:51,1,,"Ex-Atlassian. Public speaker & writer. Investor & advisor. Meta-modeller. Pathologically overenthusiastic. Slightly unhinged. Trying to be present,here and now."
arishahdadi,following,,,Ari Shahdadi,0,0,,,168,0.0,12,Sun Sep 13 12:32,1,,Somewhere between Catholic monarchist and market-Leninist.
cdixon,following,,,Chris Dixon,0,0,,,28,0.0,40,Mon Sep 14 20:08,1,,"Programming, philosophy, history, internet, startups, crypto. Managing Partner @a16zcrypto. See disclosures: https://t.co/Ov6kKJAUpq"
peteskomoroch,following,,,Pete Skomoroch,0,0,,,5224,0.0,40,Tue Sep 15 02:50,1,,"Investor and AI startup founder. Focus: AI, LLMs, LifeOps, AI Product Management. Was founder @SkipFlag. EIR @Accel. Data Science & ML @LinkedIn, @AOL & @MIT"
MrCollaborative,following,,,Matthew Richardson,0,0,,,56,0.0,40,Sun Oct 01 14:45,1,,"Business leader, trend-watcher, technologist, social media strategist, planner & entrepreneur. http://t.co/viUhModNPf"
onderozbek,following,,,Onder Ozbek,0,0,,,1,0.0,6,Mon Dec 16 19:26,1,,"blockchain enthusiast, musician, pm @ facebook"
yakupcukuryurt,following,,,"Yakup Çukuryurt,PhD,Atty",0,0,,,0,0,0,,1,,...Dr.Economist | Lawyer | Engineer...
ozandemiroz,following,,,ozandemiroz,0,0,,,0,0,0,,1,,Immobilien Investor
Pentosh1,seed,Crypto,en,🐧,949231,3069,7.3,423,865,0.0,40,Tue Sep 15 13:55,0,True,full time larp
GameofTrades_,seed,Macro,en,Game of Trades,3263,1297,4.3,300,0,0,0,,0,False,
atillayesilada,seed,Macro,tr,Atilla Yeşilada,1969,0,16.8,0,0,0,0,,0,False,
erkanoz,seed,Macro,tr,Erkan Öz,55,123,17.3,7,0,0.0,1,Sat Nov 06 08:26,0,False,
emrealkin,seed,Macro,tr,emre alkin,32,3,15.2,0,0,0,0,,0,False,
TheGoldTelegraph,seed,Goldbug,en,,,,,,0,0,0,,,,
islamicgoldking,seed,Goldbug,tr,,,,,,0,0,0,,,,
ArtuncKocabalkan,seed,Technical,tr,,,,,,0,0,0,,,,
SelcukGecer,seed,Technical,tr,,,,,,0,0,0,,,,
kanaldfinans,seed,Technical,tr,,,,,,0,0,0,,,,
woonomic,seed,Crypto,en,,,,,,0,0,0,,,,
BTC_Archive,seed,Crypto,en,,,,,,0,0,0,,,,
Ashcryptoreal,seed,Crypto,en,,,,,,0,0,0,,,,
bitcoinlovekang,seed,Crypto,tr,,,,,,0,0,0,,,,
BarchartCrypto,seed,Quant,en,,,,,,0,0,0,,,,
HedgeyeHQ,seed,Quant,en,,,,,,0,0,0,,,,
citrini,following,,,Citrini,0,0,,,,,,,0,,"Thematic, Cross-Asset Investment Research"
kivancozbilgic,following,,,Kıvanç Özbilgiç,0,0,,,,,,,0,,"ARTIK SIRA; Algoritmik formüllere, Otomatik al sat yapan robotlara, Duygulara yer olmayan bilgisayar işlemlerine geldi. ASIL SORU ŞU: Siz bunun neresindesiniz❓"
GoogleResearch,following,,,Google Research,0,0,,,,,,,0,,"Impossible? Let’s see. From algorithms to neuroscience to AI, Google Research strives to progress science, advance society & improve billions of people’s lives."
POTUS,following,,,President Donald J. Trump,0,0,,,,,,,0,,45th & 47th President of the United States. The Golden Age of America Begins Right Now.
GioValiante,following,,,Dr. Gio Valiante,0,0,,,,,,,0,,"Univ of Florida Institute for Coaching Excellence, Fmr. Head Performance Coach Point72, BoTB Investors, Athletes, Entrepreneurs."
BrendanCarrFCC,following,,,Brendan Carr,0,0,,,,,,,0,,"Chairman, Federal Communications Commission."
SteveMiran,following,,,Stephen Miran,0,0,,,,,,,0,,Citizen of the United States of America 🇺🇸
JensenHuang,following,,,Jensen Huang,0,0,,,,,,,0,,Founder and CEO of NVIDIA.
arena,following,,,Arena.ai,0,0,,,,,,,0,,Where AI meets the real world. We measure and advance the frontier of AI through community-driven evaluation. We’re hiring → https://t.co/XBZCrsdD77
milesdeutscher,following,,,Miles Deutscher,0,0,,,,,,,0,,Obsessed with AI. Tweets aren’t financial advice. Building @aiedge_.
CENTCOM,following,,,U.S. Central Command,0,0,,,,,,,0,,The official account of U.S. Central Command.
0xCodez,following,,,Codez,0,0,,,,,,,0,,Content creator | AI researcher & builder | AI insights from 2030 | @beyond_xai
bryan_johnson,following,,,Bryan Johnson,0,0,,,,,,,0,,"Founder Immortals, Blueprint, Kernel, Braintree Venmo.   Conquering death will be humanity’s greatest achievement."
andreijikh,following,,,Andrei Jikh,0,0,,,,,,,0,,I teach Finance & Investing on YouTube
0xMovez,following,,,Movez,0,0,,,,,,,0,,Content creator | AI researcher & agentic builder | CEO @beyond_xai
hamptonism,following,,,ₕₐₘₚₜₒₙ,0,0,,,,,,,0,,@SurmountInvest Investment Management. Palantir to 400.
tarih_parodi,following,,,Börü TV | Tarih Parodi Radyosu,0,0,,,,,,,0,,"Tarihi bir radyo, bugün konuşuyor."
naval,following,,,Naval,0,0,,,,,,,0,,Incompressible
chickengenius,following,,,Chicken Genius,0,0,,,,,,,0,,"Nothing to sell you. ZERO. No private groups, IG, telegram, NOTHING. Don't be dumb sending ""ME"" $$$"
claudeai,following,,,Claude,0,0,,,,,,,0,,"Claude is an AI assistant built by @anthropicai to be safe, accurate, and secure. Talk to Claude on https://t.co/ZhTwG8d1e5 or download the app."
amcafee,following,,,Andrew McAfee 🇺🇦,0,0,,,,,,,0,,"Author of ""The Geek Way"" and ""More from Less;"" coauthor of ""The Second Machine Age;"" proponent of human and planetary flourishing."
davidautor,following,,,David Autor,0,0,,,,,,,0,,
erikbryn,following,,,Erik Brynjolfsson,0,0,,,,,,,0,,"Director @DigEconLab Co-founder, @Workhelix @StanfordHAI @SIEPR @Stanford https://t.co/D2bPyxoFEf"
Ph_Aghion,following,,,Philippe Aghion,0,0,,,,,,,0,,"Nobel Prize in Economics, prof @cdf1530 and @insead. Account managed by my students to share news.  « The most talkative speechless person »"
AdrianDittmann,following,,,Adrian Dittmann,0,0,,,,,,,0,,"Life is too short to worry about stupid things. Have fun. Fall in love. Regret nothing, and don't let people bring you down. Study, think, create, and grow."
kaganin,following,,,kagan yaldizkaya,0,0,,,,,,,0,,"product design @tidal, @blocks"
TodayAssyria,following,,,ASSYRIA TODAY ܐܬܼܘܪ ܝܘܡܢܐ,0,0,,,,,,,0,,"News, history, & heritage of the world's earliest civilizations in Mesopotamia—Sumer, Akkad, Babylonia & Assyria & their living legacy: the Assyrian Christians"
ValerioCapraro,following,,,Valerio Capraro,0,0,,,,,,,0,,Associate Professor at Uni Milan-Bicocca. I write about social behaviour and AI.
KimDotcom,following,,,Kim Dotcom,0,0,,,,,,,0,,"Entrepreneur, Innovator, Gamer, Artist, Internet Freedom Fighter & Father of 6"
Pred_History,following,,,Predictive History,0,0,,,,,,,0,,"Official account of @xueqinjiang's ""Predictive History""   Analyzing history to connect the past, explain the present, and predict the future."
NTFabiano,following,,,"Nicholas Fabiano, MD",0,0,,,,,,,0,,Making brain science practical  Contact: ntfabiano@gmail.com
defense_civil25,following,,,US Homeland Security News,0,0,,,,,,,0,,"US Homeland Security News with Updates About US National Security, Border Security and News from DC! Stay Informed! We Are The Media NOW! 🇺🇸"
standuquesne,following,,,Stan Druckenmiller,0,0,,,,,,,0,,
Legendaryy,following,,,Legendary,0,0,,,,,,,0,,life is good | building the @modernmarket_
HuggingModels,following,,,Hugging Models,0,0,,,,,,,0,,We're sharing/showcasing best of @huggingface models. Follow to stay in loop. Promoting Open-Source models.
swyx,following,,,swyx,0,0,,,,,,,0,,"achieve ambition with intentionality, intensity, integrity & insanity.  affiliations: - @smol_ai - @dxtipshq - @cognition - @aidotengineer - @latentspacepod"
AlecRad,following,,,Alec Radford,0,0,,,,,,,0,,
bcherny,following,,,Boris Cherny,0,0,,,,,,,0,,Claude Code @anthropicai
robertnishihara,following,,,Robert Nishihara,0,0,,,,,,,0,,Co-founder @anyscalecompute. Co-creator of @raydistributed. Previously AI research at Berkeley.
Hesamation,following,,,ℏεsam,0,0,,,,,,,0,,"Daily AI News / Open Source / AI Engineering and Research | Apes made fire, then GPUs, then ASI"
alexis_b_cook,following,,,Alexis Cook,0,0,,,,,,,0,,machine learning
DarioAmodei,following,,,Dario Amodei,0,0,,,,,,,0,,Anthropic CEO. https://t.co/qXHIf42jTl
koraykv,following,,,koray kavukcuoglu,0,0,,,,,,,0,,"SVP, Google DeepMind Chief AI Architect, Google."
demishassabis,following,,,Demis Hassabis,0,0,,,,,,,0,,Nobel Laureate. Co-Founder & Chair @GoogleDeepMind; Chief Scientist of Alphabet. Founder & CEO @IsomorphicLabs. Building the future...
dwarkesh_sp,following,,,Dwarkesh Patel,0,0,,,,,,,0,,Host of @dwarkeshpodcast  https://t.co/3SXlu7fy6N https://t.co/4DPAxODFYi https://t.co/hQfIWdM1Un
AtillaYesilada1,following,,,Atilla Yesilada,0,0,,,,,,,0,,"A student of all things related   to humanity. Fan of  cult sci-fi  horror flicks, loves all eggplant dishes. Motto:  Live and let live"
arkham,following,,,Arkham,0,0,,,,,,,0,,Trade with Intelligence 🔎
TanselKayaTR,following,,,Tansel Kaya,0,0,,,,,,,0,,"CEO, Mindstone Blockchain Labs. Eski Flarion, Airties, Qualcomm, Intel. KHAS Üni. Öğretim Görevlisi."
vasuman,following,,,vas,0,0,,,,,,,0,,"CEO @varickagents, Implementing AI at Enterprise. Prev AI @meta"
burak_tamac,following,,,"Burak Tamaç, Ph.D.",0,0,,,,,,,0,,"🎓Adj. Prof. at Montclair State University, ex-CryptoQuant  ❝❞Bloomberg | CNBC | CoinDesk"
BillAckman,following,,,Bill Ackman,0,0,,,,,,,0,,"CEO Pershing Square, Co-trustee @PershingSqFdn"
NewLowObserver,following,,,New Low Observer,0,0,,,,,,,0,,"Dow Theory, Price, & Research Specialists.  We're touching the financial & economic third rail, so you don't have to.  皆さんがそうしなくてもいいように、私たちは金融と経済の第三レールに触れています。"
swsyc,following,,,SW Shingles YC,0,0,,,,,,,0,,
yanisvaroufakis,following,,,Yanis Varoufakis,0,0,,,,,,,0,,"Economics professor, quietly writing obscure economic texts for years, until thrust onto the public scene by Europe's inane handling of an inevitable crisis"
MearsheimerJ,following,,,John Mearsheimer,0,0,,,,,,,0,,"John Joseph Mearsheimer is an American political scientist and international relations scholar, who belongs to the realist school of thought"
CeyhunElgin,following,,,Ceyhun Elgin,0,0,,,,,,,0,,"Macroeconomist working @unibogazici, and externally @PennMedicine. Worked @columbia, @BU_Tweets, @UMNews, @MinneapolisFed, @NYUSPS  Jean Monnet Chair (2025-28)"
SadiUzunoglu,following,,,Sadi Uzunoglu,0,0,,,,,,,0,,
nbekonomi,following,,,Ekonomi Gazetesi,0,0,,,,,,,0,,İlkeli ve bağımsız gazeteciliğin gururu ile Türkiye'ye ekonomiyi sunuyoruz
thepharus,following,,,Pharus ✨,0,0,,,,,,,0,,Web3’teki yol göstericiniz
engelliweb,following,,,EngelliWeb,0,0,,,,,,,0,,"2008'den beri Türkiye'de erişime engellenen web sitelerini, haber ve sosyal medya içeriklerini takip ediyor ve İnternet sansürünü raporluyoruz. @ifadeorgtr"
worldnetwork,following,,,World,0,0,,,,,,,0,,"World is a new standard of trust for the internet - private proof of human, powerful financial infrastructure & the human-first experiences they enable."
